audit_key,request_id,run_cycle,dashboard_scope,source_system,target_system,device_id,feeder_id,flow_start_ts,mdm_request_ts,mdm_response_ts,mdm_status,mdm_failure_category,mdm_http_code,transaction_id,nfms_request_ts,nfms_response_ts,nfms_status,nfms_http_code,retry_count,retry_threshold,deviated_flag,final_status,final_failure_source,final_message,time_taken_ms,created_ts,updated_ts
REQ-900001_MZ2000001,REQ-900001,T-5,BLOCKLOADPROFILE,MDM,NFMS,MZ2000001,FD1001,1773872210926,1773872210981,1773872211562,SUCCESS,NONE,200.0,PEDM_28728463,1773872211717.0,1773872212538.0,SUCCESS,200.0,3,3,False,SUCCESS,NONE,NONE,1612,2026-03-18T22:16:50.926147+00:00,2026-03-18T22:16:52.538000+00:00
REQ-900002_MZ2000002,REQ-900002,T-5,BLOCKLOADPROFILE,MDM,NFMS,MZ2000002,FD1002,1773872213926,1773872213949,1773872214220,SUCCESS,NONE,200.0,PEDM_41227216,1773872214576.0,1773872214980.0,SUCCESS,200.0,1,3,False,SUCCESS,NONE,NONE,1054,2026-03-18T22:16:53.926147+00:00,2026-03-18T22:16:54.980000+00:00
REQ-900003_MZ2000003,REQ-900003,T-5,BLOCKLOADPROFILE,MDM,NFMS,MZ2000003,FD1003,1773872249926,1773872250015,1773872250954,FAILED,MDM_NOT_FOUND,404.0,,,,NOT_TRIGGERED,,0,3,False,FAILED,MDM,MDM_HTTP_404,1028,2026-03-18T22:17:29.926147+00:00,2026-03-18T22:17:30.954000+00:00
REQ-900004_MZ2000004,REQ-900004,Hourly,BLOCKLOADPROFILE,MDM,NFMS,MZ2000004,FD1004,1773872267926,1773872267946,1773872268352,SUCCESS,NONE,200.0,PEDM_66722344,1773872268603.0,1773872269208.0,SUCCESS,200.0,1,3,False,SUCCESS,NONE,NONE,1282,2026-03-18T22:17:47.926147+00:00,2026-03-18T22:17:49.208000+00:00
REQ-900005_MZ2000005,REQ-900005,T-15,BLOCKLOADPROFILE,MDM,NFMS,MZ2000005,FD1005,1773872227926,1773872227994,1773872228272,SUCCESS,NONE,200.0,PEDM_56164955,1773872228657.0,1773872229130.0,SUCCESS,200.0,0,3,False,SUCCESS,NONE,NONE,1204,2026-03-18T22:17:07.926147+00:00,2026-03-18T22:17:09.130000+00:00
REQ-900006_MZ2000006,REQ-900006,T-15,BLOCKLOADPROFILE,MDM,NFMS,MZ2000006,FD1006,1773872267926,1773872268014,1773872268349,SUCCESS,NONE,200.0,PEDM_20576383,1773872268709.0,1773872269193.0,SUCCESS,200.0,0,3,False,SUCCESS,NONE,NONE,1267,2026-03-18T22:17:47.926147+00:00,2026-03-18T22:17:49.193000+00:00
REQ-900007_MZ2000007,REQ-900007,Hourly,BLOCKLOADPROFILE,MDM,NFMS,MZ2000007,FD1007,1773872263926,1773872264019,1773872264492,SUCCESS,NONE,200.0,PEDM_19335534,1773872264617.0,1773872264891.0,SUCCESS,200.0,1,3,False,SUCCESS,NONE,NONE,965,2026-03-18T22:17:43.926147+00:00,2026-03-18T22:17:44.891000+00:00
REQ-900008_MZ2000008,REQ-900008,T-15,BLOCKLOADPROFILE,MDM,NFMS,MZ2000008,FD1008,1773872239926,1773872239994,1773872240643,SUCCESS,MISSING_DATA,200.0,PEDM_95320121,,,NOT_TRIGGERED,,0,3,False,FAILED,MDM,Transformer failed due to missing or invalid MDM payload,943,2026-03-18T22:17:19.926147+00:00,2026-03-18T22:17:20.869000+00:00
REQ-900009_MZ2000009,REQ-900009,Hourly,BLOCKLOADPROFILE,MDM,NFMS,MZ2000009,FD1009,1773872279926,1773872279972,1773872280598,SUCCESS,NONE,200.0,PEDM_96977837,1773872280732.0,1773872281117.0,SUCCESS,200.0,0,3,False,SUCCESS,NONE,NONE,1191,2026-03-18T22:17:59.926147+00:00,2026-03-18T22:18:01.117000+00:00
REQ-900010_MZ2000010,REQ-900010,T-15,BLOCKLOADPROFILE,MDM,NFMS,MZ2000010,FD1010,1773872347926,1773872347977,1773872348391,SUCCESS,NONE,200.0,PEDM_60929647,1773872348648.0,1773872349035.0,SUCCESS,200.0,0,3,False,SUCCESS,NONE,NONE,1109,2026-03-18T22:19:07.926147+00:00,2026-03-18T22:19:09.035000+00:00
REQ-900011_MZ2000011,REQ-900011,T-5,BLOCKLOADPROFILE,MDM,NFMS,MZ2000011,FD1011,1773872273926,1773872273987,1773872274181,SUCCESS,NONE,200.0,PEDM_14308421,1773872274427.0,1773872274827.0,SUCCESS,200.0,2,3,False,SUCCESS,NONE,NONE,901,2026-03-18T22:17:53.926147+00:00,2026-03-18T22:17:54.827000+00:00
REQ-900012_MZ2000012,REQ-900012,Hourly,BLOCKLOADPROFILE,MDM,NFMS,MZ2000012,FD1012,1773872351926,1773872351986,1773872352501,SUCCESS,NONE,200.0,PEDM_77005685,1773872352819.0,1773872353227.0,FAILED,504.0,3,3,False,FAILED,NFMS,NFMS_HTTP_504,1301,2026-03-18T22:19:11.926147+00:00,2026-03-18T22:19:13.227000+00:00
REQ-900013_MZ2000013,REQ-900013,T-15,BLOCKLOADPROFILE,MDM,NFMS,MZ2000013,FD1013,1773872285926,1773872286017,1773872287200,SUCCESS,NONE,200.0,PEDM_88461803,1773872287536.0,1773872287894.0,SUCCESS,200.0,0,3,False,SUCCESS,NONE,NONE,1968,2026-03-18T22:18:05.926147+00:00,2026-03-18T22:18:07.894000+00:00
REQ-900014_MZ2000014,REQ-900014,T-15,BLOCKLOADPROFILE,MDM,NFMS,MZ2000014,FD1014,1773872291926,1773872291963,1773872293086,SUCCESS,NONE,200.0,PEDM_22201654,1773872293225.0,1773872293341.0,SUCCESS,200.0,0,3,False,SUCCESS,NONE,NONE,1415,2026-03-18T22:18:11.926147+00:00,2026-03-18T22:18:13.341000+00:00
